gene,disease
NPY,alzheimer's disease
BCL2,alzheimer's disease
BDNF,alzheimer's disease
CASP3,alzheimer's disease
IGF2,alzheimer's disease
IGF1R,alzheimer's disease
ATP5F1A,alzheimer's disease
INS,alzheimer's disease
BAX,alzheimer's disease
ABCA7,alzheimer's disease
TOMM40,alzheimer's disease
CLU,alzheimer's disease
CR1,alzheimer's disease
A2M,alzheimer's disease
EPHA1,alzheimer's disease
CD2AP,alzheimer's disease
BIN1,alzheimer's disease
APOC1,alzheimer's disease
MPO,alzheimer's disease
NOS3,alzheimer's disease
PSEN2,alzheimer's disease
SORL1,alzheimer's disease
PICALM,alzheimer's disease
VSNL1,alzheimer's disease
INPP5D,alzheimer's disease
NECTIN2,alzheimer's disease
MS4A4A,alzheimer's disease
PCDH11X,alzheimer's disease
CASS4,alzheimer's disease
CYP46A1,alzheimer's disease
CHRNA7,alzheimer's disease
CST3,alzheimer's disease
CYP2D6,alzheimer's disease
DHCR24,alzheimer's disease
DPYSL2,alzheimer's disease
ESR1,alzheimer's disease
NCSTN,alzheimer's disease
HMOX1,alzheimer's disease
IGF1,alzheimer's disease
MIR146A,alzheimer's disease
MAOB,alzheimer's disease
ACHE,alzheimer's disease
MTHFR,alzheimer's disease
PPARG,alzheimer's disease
PRNP,alzheimer's disease
RELN,alzheimer's disease
BCHE,alzheimer's disease
TFAM,alzheimer's disease
TNF,alzheimer's disease
VEGFA,alzheimer's disease
CD33,alzheimer's disease
CRH,alzheimer's disease
SOD2,alzheimer's disease
PLCG2,alzheimer's disease
UNC5C,alzheimer's disease
ABI3,alzheimer's disease
WWOX,alzheimer's disease
TF,alzheimer's disease
CHRNB2,alzheimer's disease
SLC30A6,alzheimer's disease
PGRMC1,alzheimer's disease
EIF2S1,alzheimer's disease
F2,alzheimer's disease
ARC,alzheimer's disease
CALM1,alzheimer's disease
ENO1,alzheimer's disease
HLA-DRB5,alzheimer's disease
IGF2R,alzheimer's disease
TPI1,alzheimer's disease
SNAR-I,alzheimer's disease
IQCK,alzheimer's disease
AMFR,alzheimer's disease
MIR100,alzheimer's disease
MIR296,alzheimer's disease
MIR375,alzheimer's disease
SLC2A4,alzheimer's disease
SLC30A4,alzheimer's disease
MIR708,alzheimer's disease
MIR3622B,alzheimer's disease
MIR4467,alzheimer's disease
TPP1,alzheimer's disease
GAPDHS,alzheimer's disease
PYY,alzheimer's disease
MIR505,alzheimer's disease
MIR766,alzheimer's disease
ADAMTS1,alzheimer's disease
MIR708,alzheimer's disease
SNAR-I,alzheimer's disease
MIR3622B,alzheimer's disease
MIR4467,alzheimer's disease
ADAM10,alzheimer's disease
ABCA7,alzheimer's disease
TOMM40,alzheimer's disease
PGRMC1,alzheimer's disease
CYP46A1,alzheimer's disease
CHRNA7,alzheimer's disease
CHRNB2,alzheimer's disease
CLU,alzheimer's disease
TPP1,alzheimer's disease
IQCK,alzheimer's disease
CR1,alzheimer's disease
CRH,alzheimer's disease
CST3,alzheimer's disease
CYP2D6,alzheimer's disease
ACE,alzheimer's disease
DHCR24,alzheimer's disease
DPYSL2,alzheimer's disease
EIF2S1,alzheimer's disease
A2M,alzheimer's disease
ENO1,alzheimer's disease
EPHA1,alzheimer's disease
ESR1,alzheimer's disease
F2,alzheimer's disease
ARC,alzheimer's disease
NCSTN,alzheimer's disease
CD2AP,alzheimer's disease
BACE1,alzheimer's disease
GAPDHS,alzheimer's disease
AMFR,alzheimer's disease
PCDH11X,alzheimer's disease
BIN1,alzheimer's disease
GSK3B,alzheimer's disease
HFE,alzheimer's disease
HLA-DRB5,alzheimer's disease
HMOX1,alzheimer's disease
APOC1,alzheimer's disease
IDE,alzheimer's disease
IGF1,alzheimer's disease
APOE,alzheimer's disease
IGF1R,alzheimer's disease
IGF2,alzheimer's disease
IGF2R,alzheimer's disease
APP,alzheimer's disease
IL1B,alzheimer's disease
INS,alzheimer's disease
INPP5D,alzheimer's disease
INSR,alzheimer's disease
LEP,alzheimer's disease
MIR100,alzheimer's disease
MIR146A,alzheimer's disease
MIR296,alzheimer's disease
MAOB,alzheimer's disease
MAPT,alzheimer's disease
ACHE,alzheimer's disease
MPO,alzheimer's disease
MTHFR,alzheimer's disease
NOS3,alzheimer's disease
NPY,alzheimer's disease
MIR375,alzheimer's disease
ATP5F1A,alzheimer's disease
ABI3,alzheimer's disease
MS4A4A,alzheimer's disease
WWOX,alzheimer's disease
PLAU,alzheimer's disease
PLCG2,alzheimer's disease
TREM2,alzheimer's disease
PPARG,alzheimer's disease
SLC30A6,alzheimer's disease
PRNP,alzheimer's disease
RELN,alzheimer's disease
PSEN1,alzheimer's disease
PSEN2,alzheimer's disease
PYY,alzheimer's disease
CASS4,alzheimer's disease
MIR505,alzheimer's disease
BAX,alzheimer's disease
NECTIN2,alzheimer's disease
BCHE,alzheimer's disease
BCL2,alzheimer's disease
BDNF,alzheimer's disease
SLC2A4,alzheimer's disease
SOD2,alzheimer's disease
TF,alzheimer's disease
TFAM,alzheimer's disease
TNF,alzheimer's disease
TPI1,alzheimer's disease
VEGFA,alzheimer's disease
VSNL1,alzheimer's disease
MIR766,alzheimer's disease
SLC30A4,alzheimer's disease
CALM1,alzheimer's disease
PICALM,alzheimer's disease
CASP3,alzheimer's disease
CD33,alzheimer's disease
ADAMTS1,alzheimer's disease
GDF5,osteoarthritis
COL11A1,osteoarthritis
COMP,osteoarthritis
SMAD3,osteoarthritis
HFE,osteoarthritis
GDF5,osteoarthritis
CHADL,osteoarthritis
IL11,osteoarthritis
SMO,osteoarthritis
ASTN2,osteoarthritis
FILIP1,osteoarthritis
TNC,osteoarthritis
ITIH1,osteoarthritis
LMX1B,osteoarthritis
LTBP3,osteoarthritis
MAPT,osteoarthritis
RUNX2,osteoarthritis
HDAC9,osteoarthritis
WWP2,osteoarthritis
LTBP1,osteoarthritis
SBNO1,osteoarthritis
FRZB,osteoarthritis
CRHR1,osteoarthritis
DMP1,osteoarthritis
DIABLO,osteoarthritis
MATN3,osteoarthritis
PTPN22,rheumatoid arthritis
SLC22A4,rheumatoid arthritis
TNF,rheumatoid arthritis
CRP,rheumatoid arthritis
IL6ST,rheumatoid arthritis
CCR6,rheumatoid arthritis
FCGR2A,rheumatoid arthritis
PADI4,rheumatoid arthritis
HLA-DPB1,rheumatoid arthritis
HLA-DRB1,rheumatoid arthritis
IL2RA,rheumatoid arthritis
IL6R,rheumatoid arthritis
IL10,rheumatoid arthritis
IRF5,rheumatoid arthritis
CIITA,rheumatoid arthritis
STAT4,rheumatoid arthritis
TNFAIP3,rheumatoid arthritis
TRAF1,rheumatoid arthritis
TRAF6,rheumatoid arthritis
CD28,rheumatoid arthritis
CD40,rheumatoid arthritis
PTPN2,rheumatoid arthritis
TYK2,rheumatoid arthritis
RUNX1,rheumatoid arthritis
PTPRC,rheumatoid arthritis
AGER,rheumatoid arthritis
IL2RB,rheumatoid arthritis
NFKBIL1,rheumatoid arthritis
AFF3,rheumatoid arthritis
REL,rheumatoid arthritis
BLK,rheumatoid arthritis
CDK6,rheumatoid arthritis
CD244,rheumatoid arthritis
MMEL1,rheumatoid arthritis
ANKRD55,rheumatoid arthritis
GATA3,rheumatoid arthritis
NFKBIE,rheumatoid arthritis
PLD4,rheumatoid arthritis
DNASE1L3,rheumatoid arthritis
KIF5A,rheumatoid arthritis
ARID5B,rheumatoid arthritis
RASGRP1,rheumatoid arthritis
CSF2,rheumatoid arthritis
CTLA4,rheumatoid arthritis
ACAN,rheumatoid arthritis
RCAN1,rheumatoid arthritis
AHR,rheumatoid arthritis
SPRED2,rheumatoid arthritis
ENO1,rheumatoid arthritis
ANXA3,rheumatoid arthritis
HLA-DQA2,rheumatoid arthritis
IFNG,rheumatoid arthritis
CCN1,rheumatoid arthritis
IL1B,rheumatoid arthritis
IL1RN,rheumatoid arthritis
IL6,rheumatoid arthritis
CXCL8,rheumatoid arthritis
IL18,rheumatoid arthritis
MIF,rheumatoid arthritis
MMP2,rheumatoid arthritis
MPO,rheumatoid arthritis
MTHFR,rheumatoid arthritis
NCF2,rheumatoid arthritis
TNFRSF11B,rheumatoid arthritis
FOXP3,rheumatoid arthritis
IL23A,rheumatoid arthritis
ABCB1,rheumatoid arthritis
PON1,rheumatoid arthritis
PTGS2,rheumatoid arthritis
CCL21,rheumatoid arthritis
SLC11A1,rheumatoid arthritis
STAT1,rheumatoid arthritis
TLR2,rheumatoid arthritis
VEGFA,rheumatoid arthritis
CXCR4,rheumatoid arthritis
CAT,rheumatoid arthritis
ADIPOQ,rheumatoid arthritis
CCN2,rheumatoid arthritis
TNFSF14,rheumatoid arthritis
DHFR,rheumatoid arthritis
TNFRSF14,rheumatoid arthritis
TAGAP,rheumatoid arthritis
IRAK1,rheumatoid arthritis
COL2A1,rheumatoid arthritis
ALOX5,rheumatoid arthritis
GC,rheumatoid arthritis
HOXD13,rheumatoid arthritis
NCF1,rheumatoid arthritis
TXNDC5,rheumatoid arthritis
GRK2,rheumatoid arthritis
FPGS,rheumatoid arthritis
IGFBP3,rheumatoid arthritis
FASLG,rheumatoid arthritis
ATIC,rheumatoid arthritis
PRKCQ,rheumatoid arthritis
PTGS1,rheumatoid arthritis
CCL8,rheumatoid arthritis
SOD2,rheumatoid arthritis
GGH,rheumatoid arthritis
B3GNT2,rheumatoid arthritis
CP,rheumatoid arthritis
PLB1,rheumatoid arthritis
MMP12,rheumatoid arthritis
ACKR3,rheumatoid arthritis
PRDM1,rheumatoid arthritis
CD83,rheumatoid arthritis
ADORA2A,rheumatoid arthritis
CLEC12A,rheumatoid arthritis
IKZF3,rheumatoid arthritis
FKBP5,rheumatoid arthritis
CXCL2,rheumatoid arthritis
HSD11B1,rheumatoid arthritis
RBPJ,rheumatoid arthritis
STS,rheumatoid arthritis
MMP10,rheumatoid arthritis
BGN,rheumatoid arthritis
BMP4,rheumatoid arthritis
SMS,rheumatoid arthritis
ABCC5,rheumatoid arthritis
ABCC4,rheumatoid arthritis
CTSD,rheumatoid arthritis
DDX6,rheumatoid arthritis
GRK6,rheumatoid arthritis
HCLS1,rheumatoid arthritis
HOXD10,rheumatoid arthritis
PXK,rheumatoid arthritis
BCL2A1,rheumatoid arthritis
BMP6,rheumatoid arthritis
NR4A3,rheumatoid arthritis
GDF5,rheumatoid arthritis
CAV2,rheumatoid arthritis
ABCC3,rheumatoid arthritis
GPRC5A,rheumatoid arthritis
CD2,rheumatoid arthritis
LHX2,rheumatoid arthritis
IL6,rheumatoid arthritis
MAB21L2,rheumatoid arthritis
TXNIP,rheumatoid arthritis
ABCC2,rheumatoid arthritis
HAPLN1,rheumatoid arthritis
GSDME,rheumatoid arthritis
F2,rheumatoid arthritis
LY96,rheumatoid arthritis
GART,rheumatoid arthritis
RGMB,rheumatoid arthritis
HOXD11,rheumatoid arthritis
IRF8,rheumatoid arthritis
ITGA6,rheumatoid arthritis
LCN2,rheumatoid arthritis
MARCKS,rheumatoid arthritis
RAB8A,rheumatoid arthritis
PLEK,rheumatoid arthritis
POU3F1,rheumatoid arthritis
DDIT4,rheumatoid arthritis
GIN1,rheumatoid arthritis
BAIAP2L1,rheumatoid arthritis
PSG5,rheumatoid arthritis
NDUFA4L2,rheumatoid arthritis
PTK2,rheumatoid arthritis
RAP2A,rheumatoid arthritis
BDKRB2,rheumatoid arthritis
CXCL6,rheumatoid arthritis
TLE3,rheumatoid arthritis
TMPO,rheumatoid arthritis
TNFAIP2,rheumatoid arthritis
TFPI2,rheumatoid arthritis
CALD1,rheumatoid arthritis
ST6GALNAC5,rheumatoid arthritis
MGARP,rheumatoid arthritis
B3GNT9,rheumatoid arthritis
RUNX2,rheumatoid arthritis
SLC25A12,rheumatoid arthritis
CD3E,rheumatoid arthritis
CD5,rheumatoid arthritis
ABCG2,rheumatoid arthritis
LACC1,rheumatoid arthritis
MIF,rheumatoid arthritis
BRAF,papillary thyroid carcinoma
NKX2-1,papillary thyroid carcinoma
RET,papillary thyroid carcinoma
CCDC6,papillary thyroid carcinoma
FOXE1,papillary thyroid carcinoma
KRAS,papillary thyroid carcinoma
NRAS,papillary thyroid carcinoma
NTRK1,papillary thyroid carcinoma
PPARG,papillary thyroid carcinoma
DIRC3,papillary thyroid carcinoma
PAX8,papillary thyroid carcinoma
NCOA4,papillary thyroid carcinoma
NTRK3,papillary thyroid carcinoma
ETV6,papillary thyroid carcinoma
ALK,papillary thyroid carcinoma
GAS8-AS1,papillary thyroid carcinoma
PTCSC3,papillary thyroid carcinoma
HRAS,papillary thyroid carcinoma
EIF1AX,papillary thyroid carcinoma
ERC1,papillary thyroid carcinoma
MIR485,papillary thyroid carcinoma
SNAI1,papillary thyroid carcinoma
TFG,papillary thyroid carcinoma
DIO3,papillary thyroid carcinoma
TPR,papillary thyroid carcinoma
LPAR4,papillary thyroid carcinoma
MIR136,papillary thyroid carcinoma
MIR299,papillary thyroid carcinoma
MIR376C,papillary thyroid carcinoma
MIR369,papillary thyroid carcinoma
MIR381,papillary thyroid carcinoma
PCM1,papillary thyroid carcinoma
TRIM33,papillary thyroid carcinoma
MIR431,papillary thyroid carcinoma
MIR409,papillary thyroid carcinoma
TRIM27,papillary thyroid carcinoma
MIR539,papillary thyroid carcinoma
MIR654,papillary thyroid carcinoma
MIR758,papillary thyroid carcinoma
TRIM24,papillary thyroid carcinoma
MIR300,papillary thyroid carcinoma
MIR543,papillary thyroid carcinoma
MIR889,papillary thyroid carcinoma
MIR1247,papillary thyroid carcinoma
MIR1197,papillary thyroid carcinoma
MIR1193,papillary thyroid carcinoma
DYNC1H1,papillary thyroid carcinoma
MIR127,papillary thyroid carcinoma
MIR134,papillary thyroid carcinoma
MIR154,papillary thyroid carcinoma
MIR323A,papillary thyroid carcinoma
MIR337,papillary thyroid carcinoma
MIR370,papillary thyroid carcinoma
MIR376A1,papillary thyroid carcinoma
MIR377,papillary thyroid carcinoma
MIR379,papillary thyroid carcinoma
MIR380,papillary thyroid carcinoma
MIR382,papillary thyroid carcinoma
NDUFA13,papillary thyroid carcinoma
PPP2R5C,papillary thyroid carcinoma
MIR433,papillary thyroid carcinoma
MIR329-1,papillary thyroid carcinoma
MIR323B,papillary thyroid carcinoma
MIR412,papillary thyroid carcinoma
MIR410,papillary thyroid carcinoma
MIR376B,papillary thyroid carcinoma
MIR493,papillary thyroid carcinoma
MIR432,papillary thyroid carcinoma
MIR494,papillary thyroid carcinoma
MIR495,papillary thyroid carcinoma
MIR496,papillary thyroid carcinoma
BEGAIN,papillary thyroid carcinoma
MIR487A,papillary thyroid carcinoma
DIO3OS,papillary thyroid carcinoma
SNAI2,papillary thyroid carcinoma
MIR376A2,papillary thyroid carcinoma
MIR487B,papillary thyroid carcinoma
MIR411,papillary thyroid carcinoma
ZEB1,papillary thyroid carcinoma
MIR655,papillary thyroid carcinoma
MIR656,papillary thyroid carcinoma
WARS1,papillary thyroid carcinoma
MIR770,papillary thyroid carcinoma
WDR20,papillary thyroid carcinoma
ZEB2,papillary thyroid carcinoma
GOLGA5,papillary thyroid carcinoma
NOS3,pre-eclampsia
STOX1,pre-eclampsia
CORIN,pre-eclampsia
FLT1,pre-eclampsia
AGT,pre-eclampsia
ACE,pre-eclampsia
SERPINE1,pre-eclampsia
EDN1,pre-eclampsia
EPHX1,pre-eclampsia
CP,pre-eclampsia
INHBA,pre-eclampsia
ARHGAP45,pre-eclampsia
DDAH2,pre-eclampsia
ANXA5,pre-eclampsia
HMOX1,pre-eclampsia
SCNN1A,pre-eclampsia
TGFB1,intervertebral disc degeneration
HTRA1,intervertebral disc degeneration
SPARC,intervertebral disc degeneration
LDLR,atherosclerosis
AGER,atherosclerosis
AGT,atherosclerosis
SIRT1,atherosclerosis
HP,atherosclerosis
PPARG,atherosclerosis
CYP27A1,atherosclerosis
CETP,atherosclerosis
CRP,atherosclerosis
CYBA,atherosclerosis
ABCA1,atherosclerosis
ESR1,atherosclerosis
ALOX5,atherosclerosis
ALOX15,atherosclerosis
APOA4,atherosclerosis
ICAM1,atherosclerosis
IFNG,atherosclerosis
APOE,atherosclerosis
IL6,atherosclerosis
LPA,atherosclerosis
MMP1,atherosclerosis
NOS3,atherosclerosis
SERPINE1,atherosclerosis
PLA2G2A,atherosclerosis
PON1,atherosclerosis
PTGS2,atherosclerosis
CCL2,atherosclerosis
STAT3,atherosclerosis
TLR4,atherosclerosis
TNF,atherosclerosis
VCAM1,atherosclerosis
VEGFA,atherosclerosis
ADIPOQ,atherosclerosis
APOE,atherosclerosis
GSTM1,atherosclerosis
CCL2,atherosclerosis
ALOX5AP,atherosclerosis
CNR2,atherosclerosis
PLAT,atherosclerosis
SOCS3,atherosclerosis
AHR,atherosclerosis
ABCG5,atherosclerosis
SOD1,atherosclerosis
AGT,atherosclerosis
PARP1,atherosclerosis
NOS2,atherosclerosis
NR1H4,atherosclerosis
IGF2,atherosclerosis
LTA4H,atherosclerosis
CCL4,atherosclerosis
SOD2,atherosclerosis
GSTP1,atherosclerosis
TP53,atherosclerosis
HMOX1,atherosclerosis
TRIM28,atherosclerosis
HRH1,atherosclerosis
HSPA1B,atherosclerosis
FASLG,atherosclerosis
NECTIN2,atherosclerosis
BCL3,atherosclerosis
CELA2A,atherosclerosis
CCL3,atherosclerosis
TRPV1,atherosclerosis
PLAU,atherosclerosis
NPC1,atherosclerosis
TTPA,atherosclerosis
MRAS,atherosclerosis
FASLG,atherosclerosis
PODXL,atherosclerosis
CD163,atherosclerosis
CACNA1C,major depressive disorder
TPH2,major depressive disorder
CRHR1,major depressive disorder
FKBP5,major depressive disorder
HTR2A,major depressive disorder
SLC6A4,major depressive disorder
GAD1,major depressive disorder
FREM3,major depressive disorder
CAT,major depressive disorder
CYP2D6,major depressive disorder
EDN1,major depressive disorder
PCLO,major depressive disorder
RELN,major depressive disorder
GALR2,major depressive disorder
DRD2,major depressive disorder
GRM5,major depressive disorder
GRM7,major depressive disorder
ESR2,major depressive disorder
PLCB1,major depressive disorder
ITIH1,major depressive disorder
GLT8D1,major depressive disorder
COMT,major depressive disorder
CREB1,major depressive disorder
CRH,major depressive disorder
CRP,major depressive disorder
ACE,major depressive disorder
DISC1,major depressive disorder
NR3C1,major depressive disorder
GSK3B,major depressive disorder
HTR1A,major depressive disorder
HTR2C,major depressive disorder
IL1B,major depressive disorder
IL6,major depressive disorder
LEP,major depressive disorder
MAOA,major depressive disorder
MTHFR,major depressive disorder
NCAM1,major depressive disorder
ABCB1,major depressive disorder
BDNF,major depressive disorder
SLC6A2,major depressive disorder
TNF,major depressive disorder
TPH1,major depressive disorder
VEGFA,major depressive disorder
PROM1,major depressive disorder
CLOCK,major depressive disorder
RAPGEF5,major depressive disorder
NR3C2,major depressive disorder
S100A10,major depressive disorder
SST,major depressive disorder
GNB3,major depressive disorder
NPY,major depressive disorder
NTRK2,major depressive disorder
GDNF,major depressive disorder
CYP2C19,major depressive disorder
DRD3,major depressive disorder
FKBP4,major depressive disorder
HTR1B,major depressive disorder
IFNG,major depressive disorder
SLC6A15,major depressive disorder
DTNBP1,major depressive disorder
CNR1,major depressive disorder
CUX1,major depressive disorder
HP,major depressive disorder
MAOB,major depressive disorder
SERPINE1,major depressive disorder
PDLIM5,major depressive disorder
DLG4,major depressive disorder
DRD4,major depressive disorder
DAOA,major depressive disorder
GAL,major depressive disorder
S100B,major depressive disorder
LHPP,major depressive disorder
DCANP1,major depressive disorder
CYP2C9,major depressive disorder
DBH,major depressive disorder
EGFR,major depressive disorder
FGFR1,major depressive disorder
FMR1,major depressive disorder
MTOR,major depressive disorder
GAD2,major depressive disorder
GFAP,major depressive disorder
GRIK4,major depressive disorder
IFNA1,major depressive disorder
OXTR,major depressive disorder
GDE1,major depressive disorder
AVP,major depressive disorder
PTGS2,major depressive disorder
SOD2,major depressive disorder
TDO2,major depressive disorder
TH,major depressive disorder
KMO,major depressive disorder
HOMER1,major depressive disorder
HDAC5,major depressive disorder
MIR1202,major depressive disorder
TSNAX-DISC1,major depressive disorder
ADCY7,major depressive disorder
CRHBP,major depressive disorder
DLG3,major depressive disorder
EGF,major depressive disorder
ENPEP,major depressive disorder
MYT1L,major depressive disorder
GJA1,major depressive disorder
MORC1,major depressive disorder
GRIA2,major depressive disorder
EHD3,major depressive disorder
APAF1,major depressive disorder
HSPA1A,major depressive disorder
HTR3A,major depressive disorder
IL2,major depressive disorder
CXCL10,major depressive disorder
NTF3,major depressive disorder
PAWR,major depressive disorder
PCNT,major depressive disorder
PDYN,major depressive disorder
DDIT4,major depressive disorder
PTPRR,major depressive disorder
REST,major depressive disorder
PROK2,major depressive disorder
SAT1,major depressive disorder
SGK1,major depressive disorder
TAC1,major depressive disorder
TEF,major depressive disorder
HTR3B,major depressive disorder
IKBKE,major depressive disorder
CDH7,major depressive disorder
RNF41,major depressive disorder
AKAP8,major depressive disorder
CDKN2A,major depressive disorder
TOMM40,major depressive disorder
DEAF1,major depressive disorder
IL24,major depressive disorder
ADCY5,major depressive disorder
UCN3,major depressive disorder
ACSM1,major depressive disorder
CNP,major depressive disorder
CSF2RB,major depressive disorder
PRIMA1,major depressive disorder
ADRA1A,major depressive disorder
CTLA4,major depressive disorder
CTNND2,major depressive disorder
EIF4B,major depressive disorder
EMP1,major depressive disorder
CMYA5,major depressive disorder
ERBB3,major depressive disorder
CNTNAP2,major depressive disorder
FOXD3,major depressive disorder
ANPEP,major depressive disorder
TBX21,major depressive disorder
HIF1A,major depressive disorder
HLF,major depressive disorder
HSPA1B,major depressive disorder
APRT,major depressive disorder
IL2RA,major depressive disorder
IL11,major depressive disorder
IRF7,major depressive disorder
KDR,major depressive disorder
KPNA3,major depressive disorder
LDHA,major depressive disorder
LRP1,major depressive disorder
LSAMP,major depressive disorder
MIR30E,major depressive disorder
M6PR,major depressive disorder
ARRB1,major depressive disorder
ARSA,major depressive disorder
MDM4,major depressive disorder
MPO,major depressive disorder
NDUFV2,major depressive disorder
NELL1,major depressive disorder
NEFL,major depressive disorder
NTRK3,major depressive disorder
NR4A2,major depressive disorder
OAS2,major depressive disorder
IL20,major depressive disorder
NTM,major depressive disorder
PDE11A,major depressive disorder
TLR7,major depressive disorder
GMIP,major depressive disorder
ACP1,major depressive disorder
PFKFB3,major depressive disorder
PLG,major depressive disorder
ATP7B,major depressive disorder
CC2D1A,major depressive disorder
MCTP2,major depressive disorder
PRKCB,major depressive disorder
MAP2K1,major depressive disorder
PSMB4,major depressive disorder
SLC17A6,major depressive disorder
PTX3,major depressive disorder
CCND1,major depressive disorder
BCL9,major depressive disorder
BCR,major depressive disorder
BDKRB2,major depressive disorder
CCL2,major depressive disorder
CCL24,major depressive disorder
NPAS3,major depressive disorder
USP46,major depressive disorder
PINK1,major depressive disorder
RAPH1,major depressive disorder
SLC1A6,major depressive disorder
BMP7,major depressive disorder
SLIT3,major depressive disorder
VAMP2,major depressive disorder
TERT,major depressive disorder
TFCP2,major depressive disorder
TYK2,major depressive disorder
ZBTB16,major depressive disorder
LRP8,major depressive disorder
REEP5,major depressive disorder
GALR3,major depressive disorder
PEA15,major depressive disorder
CCKAR,major depressive disorder
KALRN,major depressive disorder
ARTN,major depressive disorder
FOXP2,major depressive disorder
QKI,major depressive disorder
GABBR2,major depressive disorder
EDEM1,major depressive disorder
MED12,major depressive disorder
HPSE,major depressive disorder
IFI44L,major depressive disorder
DDC,major depressive disorder
DLG2,major depressive disorder
IFI6,major depressive disorder
GALR1,major depressive disorder
ABI3BP,major depressive disorder
NR4A1,major depressive disorder
HSPA1L,major depressive disorder
HSP90AA1,major depressive disorder
MAP2,major depressive disorder
MMP8,major depressive disorder
NDUFV1,major depressive disorder
OXT,major depressive disorder
SRRT,major depressive disorder
KYAT3,major depressive disorder
SLC5A7,major depressive disorder
SLC6A13,major depressive disorder
SOX9,major depressive disorder
SSTR5,major depressive disorder
XDH,major depressive disorder
CAMK2A,major depressive disorder
CD34,major depressive disorder
SEC24C,major depressive disorder
ISG15,major depressive disorder
HIF1A,hypoxia
HIF1A,hypoxia
IRAK1,hypoxia
NOS2,hypoxia
IRAK4,hypoxia
VEGFA,hypoxia
ALDH1L1,hypoxia
ADK,hypoxia
CPA2,hypoxia
CS,hypoxia
CTRB1,hypoxia
SARDH,hypoxia
AHCY,hypoxia
EGR1,hypoxia
ESD,hypoxia
ALDOB,hypoxia
GAPDH,hypoxia
GNAS,hypoxia
APOA1,hypoxia
ACADVL,hypoxia
MPO,hypoxia
ATF4,hypoxia
NME1,hypoxia
NOS1,hypoxia
NOS3,hypoxia
NPPA,hypoxia
ATP5F1B,hypoxia
PCK2,hypoxia
PDYN,hypoxia
PLAT,hypoxia
POMC,hypoxia
ACTB,hypoxia
RPS2,hypoxia
RPS14,hypoxia
BDNF,hypoxia
SOD2,hypoxia
TFPI,hypoxia
TKT,hypoxia
CA9,hypoxia
IRAK1,hypoxia
NOS2,hypoxia
IRAK4,hypoxia
VEGFA,hypoxia
ITPR1,hypoxia
ITPR2,hypoxia
TP53,osteosarcoma
CHEK2,osteosarcoma
RB1,osteosarcoma
RECQL4,osteosarcoma
GRM4,osteosarcoma
SQSTM1,osteosarcoma
WRN,osteosarcoma
EGFR,osteosarcoma
AKT1,osteosarcoma
EZH2,osteosarcoma
MET,osteosarcoma
MMP2,osteosarcoma
MYC,osteosarcoma
VEGFA,osteosarcoma
RUNX2,osteosarcoma
SIRT1,osteosarcoma
GSTP1,osteosarcoma
DHFR,osteosarcoma
BMI1,osteosarcoma
PHLDA2,osteosarcoma
KCNH1,osteosarcoma
TNFRSF11A,osteosarcoma
JUN,osteosarcoma
MIR130B,osteosarcoma
MIR93,osteosarcoma
LOX,osteosarcoma
MIR328,osteosarcoma
RFC1,osteosarcoma
MIR106B,osteosarcoma
WT1,osteosarcoma
NR1I2,osteosarcoma
CYP3A4,osteosarcoma
ESRRA,osteosarcoma
EXT1,osteosarcoma
CCNB3,osteosarcoma
TOPORS,osteosarcoma
EIF2S1,osteosarcoma
EXT2,osteosarcoma
BRD4,osteosarcoma
FOLR1,osteosarcoma
MIR302B,osteosarcoma
BCOR,osteosarcoma
PRDX2,osteosarcoma
ZW10,osteosarcoma
MST1R,osteosarcoma
RGS1,osteosarcoma
TAF15,osteosarcoma
PTCH1,basal cell carcinoma
PTCH1,basal cell carcinoma
RASA1,basal cell carcinoma
TP53,basal cell carcinoma
PTCH2,basal cell carcinoma
SMO,basal cell carcinoma
XPA,basal cell carcinoma
ERCC2,basal cell carcinoma
DDB2,basal cell carcinoma
ERCC3,basal cell carcinoma
ERCC4,basal cell carcinoma
ERCC5,basal cell carcinoma
RASA1,basal cell carcinoma
STAT5B,basal cell carcinoma
XPC,basal cell carcinoma
ERBB2,basal cell carcinoma
GLI2,basal cell carcinoma
IL6,basal cell carcinoma
KRT5,basal cell carcinoma
KRT17,basal cell carcinoma
MC1R,basal cell carcinoma
ASIP,basal cell carcinoma
MYCN,basal cell carcinoma
SLC45A2,basal cell carcinoma
SUFU,basal cell carcinoma
PIK3CA,basal cell carcinoma
FBXW7,basal cell carcinoma
PPP6C,basal cell carcinoma
PTCH1,basal cell carcinoma
PTPN14,basal cell carcinoma
RASA1,basal cell carcinoma
RB1,basal cell carcinoma
SMO,basal cell carcinoma
TERT,basal cell carcinoma
TP53,basal cell carcinoma
TYR,basal cell carcinoma
XPA,basal cell carcinoma
XRCC3,basal cell carcinoma
CLPTM1L,basal cell carcinoma
BAP1,basal cell carcinoma
PTCH2,basal cell carcinoma
STK19,basal cell carcinoma
LATS1,basal cell carcinoma
ICAM1,diabetic retinopathy
AGT,diabetic retinopathy
CASP3,diabetic retinopathy
THBS1,diabetic retinopathy
VEGFA,diabetic retinopathy
SIRT1,diabetic retinopathy
PON1,diabetic retinopathy
CRP,diabetic retinopathy
AGTR1,diabetic retinopathy
SOD1,diabetic retinopathy
GAD2,diabetic retinopathy
